,Datetime,Text,Username,Lokasi
72,2023-03-02 13:57:59+00:00,"Banyak anak pejabat pamer kekayaan orang tua, berbeda dengan ERIL Ridwan Kamil anak pejabat yang aktif dalam kegiatan sosial.

Semoga Eril Husnul Khatimah....

#pplhiupdate_2020 #pplhiupdate_2016 #RelawanSahabatRK #SahabatRK #RidwanKamil #IndonesiaJuara #IndonesiaLestari https://t.co/X77GhHyhQS",ArnitaWidi,
73,2023-03-02 13:57:33+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Programnya sangat bermanfaat sekali pak untuk saya dan teman² benar² terima kasih pak uu 🙏,chann_araee,
74,2023-03-02 13:56:43+00:00,"Gubernur Jawa Barat Ridwan Kamil menghadiri acara 75 Year Anniversary Kick Off Ceremony British Council, di Yayasan Pusat Kebudayaan (YPK), Bandung, Kamis (2/3/2023). Adam Sarja - Biro Adpim #ridwankamil ini twitter https://t.co/LTWNQEK4SF",RidwanKamilinfo,
75,2023-03-02 13:56:32+00:00,"Gedung Yayasan Pusat Kebudayaan, Kota Bandung
British Council menggabungkan keahlian ekstensif antara Indonesia dan Inggris di bidang seni budaya, pendidikan, dan bahasa Inggris untuk mendukung prioritas pemerintah Indonesia dalam pengembangan tenaga kerja.
#RidwanKamil",AryFauzian,"Jakarta Pusat, DKI Jakarta"
76,2023-03-02 13:54:51+00:00,"@KemenPU @CH4__15R Sudah diberi tahu, bahkan video katakan ini tanggung jawab pemerintah daerah, kudunya tanya walikota atau @ridwankamil. Pak Kepala Desa, gak melaporkan ke atas atau sudah lapor tapi gak ditanggapi?",linda_gunawan,
77,2023-03-02 13:54:20+00:00,@PaUuRuzhanul @ridwankamil @humasjabar selalu keren2 nih program2 dari pak RK dan pak UU,sshop91144345,
78,2023-03-02 13:53:22+00:00,"@Dediy_orlando @AryPrasetyo_85 @ridwankamil Ingat, kebersihan salah satu dari iman.
Masjid megah bgtu dibiarkan kumuh. Emg pemprov Jabar ga bisa kasih sosialisasi dan peraturan ke warga utk bs jaga kebersihan masjid??

Atau sy balik :emg warga bandung dsktnya ga paham arti kebersihan &amp; ga bisa menjaga masjidnya? 🙁",eagle23138,
79,2023-03-02 13:51:35+00:00,"@abu_waras @ridwankamil katanya daerah anda gunakan pajak untuk apa, kok sampai ada jalan provinsi rusak seperti di video. Saya panggil ya pak..ini daerah bapak. akun ini suka eror, maunya sindir pajak tapi tdk tahu seharusnya ini kewajiban siapa dalam memperbaiki.",linda_gunawan,
80,2023-03-02 13:51:27+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Program pak uu dan pak rk emg keren² dan the best lah pokonya,amalia_sintiaaa,
81,2023-03-02 13:50:15+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Keharmonisan pk uu dan pak RK kelihatan begitu eratt,langitbiru535,
82,2023-03-02 13:48:19+00:00,"@Dediy_orlando @AryPrasetyo_85 @ridwankamil Yg sy soroti kondisi masjid megah nan mewah yg jadi kumuh akibat perilaku masy yg menjadikannya tempat piknik seenak jidat, komen anda di luar konteks komen saya.

Mau disatukan dgn dana pengendalian banjir ya monggo, bagus. Tapi lihat lah,itu kumuh &amp; penuh sampah. Ga malu? 😒",eagle23138,
83,2023-03-02 13:46:05+00:00,Kumaha tah kerja anak buah nya tolong di pantau pak @ridwankamil,IkoAwowo,"Bandung, Jawa Barat"
84,2023-03-02 13:44:04+00:00,@AchmadAnnama @ridwankamil @airlangga_hrt Bungkus😁😅,MKA77217578,"Banyuwangi, Indonesia"
85,2023-03-02 13:43:49+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Saling support trs ya pak uu dan wagubnya,rihanaalee,
86,2023-03-02 13:42:58+00:00,"Hallo sobat bima tiga 👋 
di wilayah Purwakarta sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan lapis pondasi agregat A.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/M1gsYCAdrA",bimatigabdg,
87,2023-03-02 13:42:56+00:00,"Hallo sobat bima tiga 👋 
di wilayah Purwakarta sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan perawatan Rumija.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/8VXwkhV2VG",bimatigabdg,
88,2023-03-02 13:42:13+00:00,"Hallo sobat bima tiga 👋 
di wilayah Purwakarta sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan Bahu Jalan dan saluran.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/KXxv1Nzz5S",bimatigabdg,
89,2023-03-02 13:42:05+00:00,"Hallo sobat bima tiga 👋 
di wilayah Karawang sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan perawatan Bahu Jalan dan Penanganan Lobang.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/7tgt3TPxay",bimatigabdg,
90,2023-03-02 13:41:45+00:00,@humasjabar @ridwankamil @ESDMJabar Cie sales,fraditaws,Samarinda
91,2023-03-02 13:41:14+00:00,"Hallo sobat bima tiga 👋 
di wilayah Purwakarta sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan Sapu Lobang.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/wLD4NVyTJg",bimatigabdg,
92,2023-03-02 13:39:19+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Program RK-UU keren selalu menginspirasi,cahayabintang3_,
93,2023-03-02 13:37:42+00:00,"@PaUuRuzhanul @ridwankamil @humasjabar pak RK dan pak UU pasangan yg saling support,kerenn",yul_iakbar,
94,2023-03-02 13:37:31+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Ini baru pemimpin yang bagus sali support antara wagub dan gubernurnya 😁,jejeliana7,Jakarta
95,2023-03-02 13:33:07+00:00,@AchmadAnnama @ridwankamil @airlangga_hrt Masih ada yg percaya sama tukang survey ya,GerryMurlianda,Banda Aceh
96,2023-03-02 13:32:15+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Bagus nih pak uu programnya 👍,zaraa_dani,
97,2023-03-02 13:24:52+00:00,"@humasjabar @ridwankamil @ESDMJabar kalah ngapromosikeun penyebab kemacetan, lieur",kusirkobam,"Kota Bandung, Jawa Barat"
98,2023-03-02 13:23:38+00:00,@PaUuRuzhanul @ridwankamil @humasjabar pokoknya mah program2 pak RK dan pak UU  keren2,CChikia,
99,2023-03-02 13:20:50+00:00,@humasjabar @elkhoers_ID @ridwankamil @ESDMJabar Huntu sia muruluk,FrivanMuhammad,"Bandung & Cimahi, Indonesia"
100,2023-03-02 13:19:58+00:00,"Hallo sobat bima tiga 👋 
di wilayah Kbb dan Cimahi sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan perawatan RSB.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/AnvLQ9Cokp",bimatigabdg,
101,2023-03-02 13:19:19+00:00,@mas_soem Cc @ridwankamil,Prabudimasadji1,
102,2023-03-02 13:18:28+00:00,"Hallo sobat bima tiga 👋 
di wilayah Kab.Bandung sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan RSB.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/2CEpQDJNpu",bimatigabdg,
103,2023-03-02 13:18:12+00:00,"Hallo sobat bima tiga 👋 
di wilayah Kab.Bandung sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan Sapu Lobang Ruas Jalan Munjul-Ciparay,Jl.Cisewu Raya (Pangalengan),Banjaran - Pangalengan dan Jl.Pangalengan - Cukul.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/cgLAFo2RVm",bimatigabdg,
104,2023-03-02 13:17:02+00:00,@pengarang_sajak @ridwankamil nah dana sebesar itu lebih mending buat perbaikan saluran pembuangan air di Cikarang Utara deh pak. Banjirnya uda seminggu dan langganan.,PrataRoti,
